"x","y","cell_id","population","infected_DM_0","infected_DM_1","infected_DM_2","infected_DM_3","u","var","sd","IoD","CoV"
-2.2655402,53.4204534,6504529144908220416,22,1,0,1,1,0.75,0.25,0.5,0.333333333333333,0.666666666666667
-2.2655963,53.4294419,8685600517058320384,38,0,0,2,0,0.5,1,1,2,2
-2.2656636,53.4402279,-6954263172235078656,58,0,0,1,0,0.25,0.25,0.5,1,2
-2.2641192,53.4339394,-55301616101183768,54,0,1,0,0,0.25,0.25,0.5,1,2
-2.2641527,53.4393324,-1799129505341421824,68,0,2,0,0,0.5,1,1,2,2
-2.2641806,53.4438266,-6922193285528309760,42,0,1,1,1,0.75,0.25,0.5,0.333333333333333,0.666666666666667
-2.2625364,53.4213589,-5441153801290021888,93,3,3,0,1,1.75,2.25,1.5,1.28571428571429,0.857142857142857
-2.2625531,53.4240555,-5944133414741826560,35,2,2,0,2,1.5,1,1,0.666666666666667,0.666666666666667
-2.2626418,53.4384369,-5608213471952671744,68,0,2,0,0,0.5,1,1,2,2
-2.262664,53.4420323,-6104919003042739200,74,0,0,1,0,0.25,0.25,0.5,1,2
-2.2627028,53.4483242,605508225165856512,46,0,0,0,1,0.25,0.25,0.5,1,2
-2.2610152,53.4186657,5173944745410239488,41,2,0,1,1,1,0.666666666666667,0.816496580927726,0.666666666666667,0.816496580927726
-2.2610427,53.4231599,-97734301553612064,25,1,1,2,0,1,0.666666666666667,0.816496580927726,0.666666666666667,0.816496580927726
-2.2595106,53.418669,1878073865649755904,87,0,0,0,1,0.25,0.25,0.5,1,2
-2.259516,53.4195678,-6359262275304226816,51,0,0,1,1,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925
-2.2595928,53.4321516,-3186463172877651456,34,1,3,0,0,1,2,1.4142135623731,2,1.4142135623731
-2.2595982,53.4330505,4728380058564738048,114,2,2,2,3,2.25,0.25,0.5,0.111111111111111,0.222222222222222
-2.2596037,53.4339493,-4347429581144011264,84,5,1,1,1,2,4,2,2,1
-2.2596641,53.4438366,6267195244730139648,24,0,0,1,2,0.75,0.916666666666667,0.957427107756338,1.22222222222222,1.27656947700845
-2.2596805,53.4465331,4813593830928761856,67,2,2,0,1,1.25,0.916666666666667,0.957427107756338,0.733333333333333,0.765941686205071
-2.2597299,53.4546226,6467569402093212672,35,0,1,0,0,0.25,0.25,0.5,1,2
-2.2597574,53.4591168,8864222466996233216,100,0,1,2,0,0.75,0.916666666666667,0.957427107756338,1.22222222222222,1.27656947700845
-2.2598233,53.4699029,5428003152784542720,82,0,0,1,0,0.25,0.25,0.5,1,2
-2.2580223,53.4213688,-4.182704147092e+18,80,0,0,1,0,0.25,0.25,0.5,1,2
-2.258104,53.4348514,4541397942516936192,97,1,0,3,3,1.75,2.25,1.5,1.28571428571429,0.857142857142857
-2.2581258,53.4384468,2641711967522112000,22,1,2,0,0,0.75,0.916666666666667,0.957427107756338,1.22222222222222,1.27656947700845
-2.2581586,53.4438398,4768270369095828480,28,0,0,1,0,0.25,0.25,0.5,1,2
-2.2581804,53.4474352,-4295180408545597952,160,3,1,0,2,1.5,1.66666666666667,1.29099444873581,1.11111111111111,0.86066296582387
-2.2582077,53.4519294,9205998164829418496,45,0,1,0,0,0.25,0.25,0.5,1,2
-2.2582131,53.4528282,7688969206081764352,72,1,0,0,1,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925
-2.2582513,53.4591201,-1007389654633267456,96,0,0,1,1,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925
-2.256588,53.433057,3189310789920967168,21,0,1,0,0,0.25,0.25,0.5,1,2
-2.2566368,53.4411466,-7727797502955529216,73,2,2,1,1,1.5,0.333333333333333,0.577350269189626,0.222222222222222,0.38490017945975
-2.2566693,53.4465396,2277113781933741824,53,0,3,0,0,0.75,2.25,1.5,3,2
-2.2566856,53.4492361,-6539516393388987392,63,0,0,3,0,0.75,2.25,1.5,3,2
-2.2567127,53.4537303,-4155465383613604352,74,0,0,1,0,0.25,0.25,0.5,1,2
-2.2567236,53.455528,3644611249090808320,76,0,0,1,0,0.25,0.25,0.5,1,2
-2.2568702,53.4797966,1963039215706292992,112,0,0,0,1,0.25,0.25,0.5,1,2
-2.2551799,53.4492393,-860152054007299328,131,2,3,1,0,1.5,1.66666666666667,1.29099444873581,1.11111111111111,0.86066296582387
