"x","y","cell_id","population","infected_DM_0","infected_DM_1","infected_DM_2","infected_DM_3","u","var","sd","IoD","CoV"
-2.2653554,53.3907915,-6457656585742029824,74,1,1,0,0,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925
-2.2655402,53.4204534,6504529144908220416,22,3,5,4,1,3.25,2.91666666666667,1.70782512765993,0.897435897435897,0.525484654664595
-2.2655963,53.4294419,8685600517058320384,38,2,1,0,2,1.25,0.916666666666667,0.957427107756338,0.733333333333333,0.765941686205071
-2.2656636,53.4402279,-6954263172235078656,58,1,0,0,0,0.25,0.25,0.5,1,2
-2.2656917,53.4447221,-7903444783360770048,59,0,1,0,0,0.25,0.25,0.5,1,2
-2.2639019,53.3988845,5709843737958459392,38,0,0,0,2,0.5,1,1,2,2
-2.2639186,53.401581,8774893376785942528,38,0,0,2,1,0.75,0.916666666666667,0.957427107756338,1.22222222222222,1.27656947700845
-2.263952,53.4069741,-2540649673480081920,6,1,0,0,0,0.25,0.25,0.5,1,2
-2.2641192,53.4339394,-55301616101183768,54,5,0,2,3,2.5,4.33333333333333,2.08166599946613,1.73333333333333,0.832666399786453
-2.2641527,53.4393324,-1799129505341421824,68,0,0,2,1,0.75,0.916666666666667,0.957427107756338,1.22222222222222,1.27656947700845
-2.2623758,53.3952924,-5980521670008845312,95,0,0,1,0,0.25,0.25,0.5,1,2
-2.2624367,53.4051797,6558309216546043904,70,2,8,0,4,3.5,11.6666666666667,3.41565025531987,3.33333333333333,0.975900072948533
-2.2624422,53.4060786,-8688582507733682176,25,2,0,1,2,1.25,0.916666666666667,0.957427107756338,0.733333333333333,0.765941686205071
-2.262481,53.4123705,-794175671944787200,17,4,2,3,3,3,0.666666666666667,0.816496580927726,0.222222222222222,0.272165526975909
-2.2625364,53.4213589,-5441153801290021888,93,11,11,7,6,8.75,6.91666666666667,2.62995563967658,0.790476190476191,0.300566358820181
-2.2625531,53.4240555,-5944133414741826560,35,0,3,2,4,2.25,2.91666666666667,1.70782512765993,1.2962962962963,0.759033390071081
-2.2626418,53.4384369,-5608213471952671744,68,3,0,0,1,1,2,1.4142135623731,2,1.4142135623731
-2.262664,53.4420323,-6104919003042739200,74,0,0,2,1,0.75,0.916666666666667,0.957427107756338,1.22222222222222,1.27656947700845
-2.2626751,53.44383,4841772569815309312,21,0,0,1,0,0.25,0.25,0.5,1,2
-2.2627695,53.4591102,5228304199853583360,192,1,0,0,0,0.25,0.25,0.5,1,2
-2.2609546,53.4087784,-6054602705832647680,47,4,3,2,1,2.5,1.66666666666667,1.29099444873581,0.666666666666667,0.516397779494322
-2.2610152,53.4186657,5173944745410239488,41,3,2,2,5,3,2,1.4142135623731,0.666666666666667,0.471404520791032
-2.2610427,53.4231599,-97734301553612064,25,1,1,2,1,1.25,0.25,0.5,0.2,0.4
-2.2612027,53.4492263,-2768365916960628224,37,0,0,2,0,0.5,1,1,2,2
-2.2595106,53.418669,1878073865649755904,87,4,5,8,6,5.75,2.91666666666667,1.70782512765993,0.507246376811594,0.297013065679988
-2.259516,53.4195678,-6359262275304226816,51,2,3,4,5,3.5,1.66666666666667,1.29099444873581,0.476190476190476,0.368855556781659
-2.2595928,53.4321516,-3186463172877651456,34,1,2,1,0,1,0.666666666666667,0.816496580927726,0.666666666666667,0.816496580927726
-2.2595982,53.4330505,4728380058564738048,114,3,2,2,5,3,2,1.4142135623731,0.666666666666667,0.471404520791032
-2.2596037,53.4339493,-4347429581144011264,84,6,0,2,1,2.25,6.91666666666667,2.62995563967658,3.07407407407407,1.16886917318959
-2.2596311,53.4384435,2486736712152068608,53,1,1,1,0,0.75,0.25,0.5,0.333333333333333,0.666666666666667
-2.2596805,53.4465331,4813593830928761856,67,1,0,0,1,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925
-2.2578644,53.3953023,-3614060759773718016,25,1,0,0,0,0.25,0.25,0.5,1,2
-2.2579297,53.4060884,-5577176485274819584,60,1,3,2,2,2,0.666666666666667,0.816496580927726,0.333333333333333,0.408248290463863
-2.2580223,53.4213688,-4.182704147092e+18,80,12,6,8,4,7.5,11.6666666666667,3.41565025531987,1.55555555555556,0.455420034042649
-2.2580277,53.4222676,-5187000936324132864,38,2,5,2,3,3,2,1.4142135623731,0.666666666666667,0.471404520791032
-2.258104,53.4348514,4541397942516936192,97,2,4,2,5,3.25,2.25,1.5,0.692307692307692,0.461538461538462
