"x","y","cell_id","population","infected_DM_0","infected_DM_1","infected_DM_2","infected_DM_3","u","var","sd","IoD","CoV"
-2.2655402,53.4204534,6504529144908220416,22,2,4,0,0,1.5,3.66666666666667,1.91485421551268,2.44444444444444,1.27656947700845
-2.2655963,53.4294419,8685600517058320384,38,0,0,1,1,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925
-2.2656636,53.4402279,-6954263172235078656,58,1,0,0,0,0.25,0.25,0.5,1,2
-2.2641192,53.4339394,-55301616101183768,54,0,0,1,1,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925
-2.2624422,53.4060786,-8688582507733682176,25,1,0,0,0,0.25,0.25,0.5,1,2
-2.262481,53.4123705,-794175671944787200,17,0,0,1,0,0.25,0.25,0.5,1,2
-2.2625364,53.4213589,-5441153801290021888,93,2,5,2,5,3.5,3,1.73205080756888,0.857142857142857,0.494871659305394
-2.2625531,53.4240555,-5944133414741826560,35,0,3,1,0,1,2,1.4142135623731,2,1.4142135623731
-2.2610152,53.4186657,5173944745410239488,41,0,0,1,1,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925
-2.2610427,53.4231599,-97734301553612064,25,0,0,0,1,0.25,0.25,0.5,1,2
-2.2595106,53.418669,1878073865649755904,87,1,4,2,3,2.5,1.66666666666667,1.29099444873581,0.666666666666667,0.516397779494322
-2.259516,53.4195678,-6359262275304226816,51,2,1,3,2,2,0.666666666666667,0.816496580927726,0.333333333333333,0.408248290463863
-2.2595928,53.4321516,-3186463172877651456,34,0,0,0,1,0.25,0.25,0.5,1,2
-2.2595982,53.4330505,4728380058564738048,114,0,1,2,2,1.25,0.916666666666667,0.957427107756338,0.733333333333333,0.765941686205071
-2.2596037,53.4339493,-4347429581144011264,84,1,0,0,1,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925
-2.2596311,53.4384435,2486736712152068608,53,1,0,2,0,0.75,0.916666666666667,0.957427107756338,1.22222222222222,1.27656947700845
-2.2580223,53.4213688,-4.182704147092e+18,80,4,5,1,2,3,3.33333333333333,1.82574185835055,1.11111111111111,0.608580619450185
-2.2580277,53.4222676,-5187000936324132864,38,1,1,3,0,1.25,1.58333333333333,1.25830573921179,1.26666666666667,1.00664459136943
-2.258104,53.4348514,4541397942516936192,97,2,2,0,0,1,1.33333333333333,1.15470053837925,1.33333333333333,1.15470053837925
-2.2581258,53.4384468,2641711967522112000,22,0,0,0,1,0.25,0.25,0.5,1,2
-2.2581804,53.4474352,-4295180408545597952,160,0,1,1,1,0.75,0.25,0.5,0.333333333333333,0.666666666666667
-2.2582077,53.4519294,9205998164829418496,45,0,0,1,0,0.25,0.25,0.5,1,2
-2.256588,53.433057,3189310789920967168,21,0,1,0,0,0.25,0.25,0.5,1,2
-2.2566368,53.4411466,-7727797502955529216,73,2,2,1,0,1.25,0.916666666666667,0.957427107756338,0.733333333333333,0.765941686205071
-2.2567127,53.4537303,-4155465383613604352,74,0,0,1,0,0.25,0.25,0.5,1,2
-2.2551799,53.4492393,-860152054007299328,131,0,0,1,0,0.25,0.25,0.5,1,2
-2.2536635,53.4474449,-7152446989104167936,100,0,0,1,0,0.25,0.25,0.5,1,2
-2.2537224,53.4573321,-3808541654196958720,68,0,1,0,0,0.25,0.25,0.5,1,2
-2.2520141,53.4231793,8175066055979878400,25,1,2,1,1,1.25,0.25,0.5,0.2,0.4
-2.2521259,53.442055,4164675140155534848,102,0,0,3,2,1.25,2.25,1.5,1.8,1.2
-2.2523392,53.4780085,4663538671549325312,11,0,0,0,1,0.25,0.25,0.5,1,2
-2.250504,53.4222837,2470063413266779648,35,0,1,1,0,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925
-2.2506151,53.4411593,-7675963362233193472,71,0,0,0,1,0.25,0.25,0.5,1,2
-2.2490098,53.4240845,-8275522262796308480,40,1,0,0,0,0.25,0.25,0.5,1,2
-2.2490518,53.4312752,8508474655642063872,125,3,1,1,1,1.5,1,1,0.666666666666667,0.666666666666667
-2.2491413,53.4465555,-499528539499273472,70,2,1,2,1,1.5,0.333333333333333,0.577350269189626,0.222222222222222,0.38490017945975
-2.2491992,53.4564428,-1262665151373865216,97,1,0,0,0,0.25,0.25,0.5,1,2
-2.2474736,53.4186946,-6605711644699558912,35,0,0,1,0,0.25,0.25,0.5,1,2
-2.2474893,53.4213911,-6638174946424822784,18,0,0,0,1,0.25,0.25,0.5,1,2
-2.2475468,53.4312784,-6467714298833766400,92,0,1,1,0,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925
-2.2475625,53.4339749,4427247138321140224,8,0,0,1,0,0.25,0.25,0.5,1,2
-2.2476933,53.4564459,-7653867988964342784,97,1,0,0,0,0.25,0.25,0.5,1,2
-2.2477614,53.4681308,-6949652550291979264,180,2,0,0,0,0.5,1,1,2,2
-2.2477718,53.4699285,7308690779256961024,138,1,0,0,0,0.25,0.25,0.5,1,2
-2.245995,53.4231919,8072546588513413120,108,0,1,1,0,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925
-2.2460469,53.4321803,-4748077364415549440,45,2,1,0,1,1,0.666666666666667,0.816496580927726,0.666666666666667,0.816496580927726
-2.2461665,53.4528537,5070807781310827520,99,1,0,0,2,0.75,0.916666666666667,0.957427107756338,1.22222222222222,1.27656947700845
-2.2461769,53.4546513,-3174668191766150656,43,0,0,1,0,0.25,0.25,0.5,1,2
-2.2444747,53.4204985,-3364574189870694912,62,0,0,1,0,0.25,0.25,0.5,1,2
-2.2445521,53.4339811,1769455742939329280,97,3,0,1,0,1,2,1.4142135623731,2,1.4142135623731
-2.2446141,53.4447672,-757688021104144640,55,1,0,1,0,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925
-2.2447849,53.4744289,6122213781337848832,111,1,0,0,0,0.25,0.25,0.5,1,2
-2.2430829,53.4402761,-7297340031951180800,55,2,0,1,0,0.75,0.916666666666667,0.957427107756338,1.22222222222222,1.27656947700845
-2.2431343,53.4492645,17445471515811558,87,1,1,0,2,1,0.666666666666667,0.816496580927726,0.666666666666667,0.816496580927726
-2.2431805,53.457354,-9146397060401700864,90,0,1,0,0,0.25,0.25,0.5,1,2
-2.2414959,53.4258976,2284183142951257856,145,0,1,1,0,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925
-2.2415061,53.4276953,5430031713043068928,67,0,1,0,1,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925
-2.2415265,53.4312907,-8101132867654452224,58,1,0,0,0,0.25,0.25,0.5,1,2
-2.2415673,53.4384814,8680781882765784064,75,0,3,0,0,0.75,2.25,1.5,3,2
-2.2415826,53.441178,2134388145120086784,46,0,0,0,1,0.25,0.25,0.5,1,2
-2.2417563,53.4717385,-8856656228966393856,456,1,1,0,1,0.75,0.25,0.5,0.333333333333333,0.666666666666667
-2.239991,53.4259007,-7923449936269306880,121,0,1,1,0,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925
-2.2400113,53.4294961,8670404234424253440,74,0,0,2,1,0.75,0.916666666666667,0.957427107756338,1.22222222222222,1.27656947700845
-2.2400214,53.4312937,5567086842704958464,51,1,0,1,1,0.75,0.25,0.5,0.333333333333333,0.666666666666667
-2.240062,53.4384845,-4556176508422569472,87,0,2,1,0,0.75,0.916666666666667,0.957427107756338,1.22222222222222,1.27656947700845
-2.2401178,53.4483717,-410353829836573952,91,0,0,1,0,0.25,0.25,0.5,1,2
-2.2401584,53.4555625,8135992453152823296,219,1,1,1,0,0.75,0.25,0.5,0.333333333333333,0.666666666666667
-2.2401635,53.4564613,8928120638947926016,84,1,0,0,0,0.25,0.25,0.5,1,2
-2.2401686,53.4573601,-4265649850451098112,45,0,0,1,0,0.25,0.25,0.5,1,2
-2.2402143,53.4654497,2588700125718716928,67,0,0,1,1,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925
-2.2402244,53.4672474,3722726391797553664,209,0,0,3,0,0.75,2.25,1.5,3,2
-2.2402549,53.4726404,-4165283725814935040,391,0,0,1,2,0.75,0.916666666666667,0.957427107756338,1.22222222222222,1.27656947700845
-2.2385668,53.4402852,-8913844776342746112,73,1,0,1,0,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925
-2.2387635,53.4753399,-2367741057041241600,475,2,1,2,2,1.75,0.25,0.5,0.142857142857143,0.285714285714286
-2.2369563,53.4214125,-3668883471361385984,33,1,0,0,0,0.25,0.25,0.5,1,2
-2.2370564,53.4393893,-7613659717524540416,98,1,0,2,2,1.25,0.916666666666667,0.957427107756338,0.733333333333333,0.765941686205071
-2.2370614,53.4402882,5088858815127454720,84,1,0,0,1,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925
-2.2370864,53.4447824,-5084443102995850240,47,1,2,0,1,1,0.666666666666667,0.816496580927726,0.666666666666667,0.816496580927726
-2.2371566,53.4573662,5301323720246155264,150,0,0,2,1,0.75,0.916666666666667,0.957427107756338,1.22222222222222,1.27656947700845
-2.2373322,53.4888255,-1381244266462303488,48,0,1,0,0,0.25,0.25,0.5,1,2
