"x","y","cell_id","population","infected_DM_0","infected_DM_1","infected_DM_2","infected_DM_3","u","var","sd","IoD","CoV"
-2.2655402,53.4204534,6504529144908220416,22,2,4,1,2,2.25,1.58333333333333,1.25830573921179,0.703703703703704,0.559246995205241
-2.2655963,53.4294419,8685600517058320384,38,5,2,1,4,3,3.33333333333333,1.82574185835055,1.11111111111111,0.608580619450185
-2.2656636,53.4402279,-6954263172235078656,58,2,2,7,3,3.5,5.66666666666667,2.38047614284762,1.61904761904762,0.680136040813605
-2.2656917,53.4447221,-7903444783360770048,59,0,0,1,2,0.75,0.916666666666667,0.957427107756338,1.22222222222222,1.27656947700845
-2.2657816,53.4591036,8320480176660514816,166,1,4,1,0,1.5,3,1.73205080756888,2,1.15470053837925
-2.2658602,53.4716873,3409797590989018624,125,0,0,2,1,0.75,0.916666666666667,0.957427107756338,1.22222222222222,1.27656947700845
-2.2659897,53.4923604,-2365718945364224512,62,0,0,0,2,0.5,1,1,2,2
-2.2641192,53.4339394,-55301616101183768,54,2,3,3,4,3,0.666666666666667,0.816496580927726,0.222222222222222,0.272165526975909
-2.2641527,53.4393324,-1799129505341421824,68,6,3,3,5,4.25,2.25,1.5,0.529411764705882,0.352941176470588
-2.2641806,53.4438266,-6922193285528309760,42,0,2,1,3,1.5,1.66666666666667,1.29099444873581,1.11111111111111,0.86066296582387
-2.2644656,53.4896673,536622626575638272,58,0,1,0,0,0.25,0.25,0.5,1,2
-2.2645216,53.4986556,-7877119818569645056,55,0,1,0,0,0.25,0.25,0.5,1,2
-2.2625364,53.4213589,-5441153801290021888,93,3,7,3,3,4,4,2,1,0.5
-2.2625531,53.4240555,-5944133414741826560,35,5,2,1,3,2.75,2.91666666666667,1.70782512765993,1.06060606060606,0.621027319149067
-2.2626418,53.4384369,-5608213471952671744,68,3,3,4,0,2.5,3,1.73205080756888,1.2,0.692820323027551
-2.262664,53.4420323,-6104919003042739200,74,3,2,2,3,2.5,0.333333333333333,0.577350269189626,0.133333333333333,0.23094010767585
-2.2626751,53.44383,4841772569815309312,21,0,1,0,0,0.25,0.25,0.5,1,2
-2.2627028,53.4483242,605508225165856512,46,3,0,3,2,2,2,1.4142135623731,1,0.707106781186548
-2.2627695,53.4591102,5228304199853583360,192,2,2,2,4,2.5,1,1,0.4,0.4
-2.2628473,53.4716939,-4730014491813090304,200,1,1,0,1,0.75,0.25,0.5,0.333333333333333,0.666666666666667
-2.2630309,53.5013554,9164094711604889600,56,0,1,0,0,0.25,0.25,0.5,1,2
-2.2631423,53.519332,3627737104511066624,208,0,1,0,0,0.25,0.25,0.5,1,2
-2.2609546,53.4087784,-6054602705832647680,47,1,0,0,0,0.25,0.25,0.5,1,2
-2.2610152,53.4186657,5173944745410239488,41,1,0,0,0,0.25,0.25,0.5,1,2
-2.2610427,53.4231599,-97734301553612064,25,3,0,0,1,1,2,1.4142135623731,2,1.4142135623731
-2.2612027,53.4492263,-2768365916960628224,37,1,3,1,0,1.25,1.58333333333333,1.25830573921179,1.26666666666667,1.00664459136943
-2.2614182,53.4842809,974804121586507520,136,2,3,2,0,1.75,1.58333333333333,1.25830573921179,0.904761904761905,0.719031850978167
-2.2595106,53.418669,1878073865649755904,87,0,2,0,0,0.5,1,1,2,2
-2.259516,53.4195678,-6359262275304226816,51,1,1,1,0,0.75,0.25,0.5,0.333333333333333,0.666666666666667
-2.2595928,53.4321516,-3186463172877651456,34,1,0,0,1,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925
-2.2595982,53.4330505,4728380058564738048,114,5,8,5,2,5,6,2.44948974278318,1.2,0.489897948556636
-2.2596037,53.4339493,-4347429581144011264,84,5,5,5,7,5.5,1,1,0.181818181818182,0.181818181818182
-2.2596311,53.4384435,2486736712152068608,53,3,2,1,3,2.25,0.916666666666667,0.957427107756338,0.407407407407407,0.425523159002817
-2.2596641,53.4438366,6267195244730139648,24,1,0,1,2,1,0.666666666666667,0.816496580927726,0.666666666666667,0.816496580927726
-2.2596805,53.4465331,4813593830928761856,67,0,1,5,2,2,4.66666666666667,2.16024689946929,2.33333333333333,1.08012344973464
-2.2597299,53.4546226,6467569402093212672,35,0,0,0,1,0.25,0.25,0.5,1,2
-2.2597574,53.4591168,8864222466996233216,100,2,3,1,1,1.75,0.916666666666667,0.957427107756338,0.523809523809524,0.547101204432193
-2.2598068,53.4672063,5538582275697341440,93,3,1,3,1,2,1.33333333333333,1.15470053837925,0.666666666666667,0.577350269189626
-2.2598233,53.4699029,5428003152784542720,82,1,2,0,1,1,0.666666666666667,0.816496580927726,0.666666666666667,0.816496580927726
-2.2599167,53.485183,5081524606056244224,68,2,0,0,1,0.75,0.916666666666667,0.957427107756338,1.22222222222222,1.27656947700845
-2.2580223,53.4213688,-4.182704147092e+18,80,1,0,0,0,0.25,0.25,0.5,1,2
-2.2580277,53.4222676,-5187000936324132864,38,1,1,0,0,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925
-2.258104,53.4348514,4541397942516936192,97,5,5,3,2,3.75,2.25,1.5,0.6,0.4
-2.2581258,53.4384468,2641711967522112000,22,1,3,0,3,1.75,2.25,1.5,1.28571428571429,0.857142857142857
-2.2581586,53.4438398,4768270369095828480,28,1,1,2,1,1.25,0.25,0.5,0.2,0.4
-2.2581804,53.4474352,-4295180408545597952,160,5,2,10,10,6.75,15.5833333333333,3.947573094109,2.30864197530864,0.584825643571704
-2.2582077,53.4519294,9205998164829418496,45,0,1,2,1,1,0.666666666666667,0.816496580927726,0.666666666666667,0.816496580927726
-2.2582131,53.4528282,7688969206081764352,72,1,2,3,0,1.5,1.66666666666667,1.29099444873581,1.11111111111111,0.86066296582387
-2.2582513,53.4591201,-1007389654633267456,96,2,5,3,2,3,2,1.4142135623731,0.666666666666667,0.471404520791032
-2.258295,53.4663108,-3233283323207055872,99,2,2,2,2,2,0,0,0,0
-2.2583332,53.4726026,1459857957755788032,167,0,0,2,0,0.5,1,1,2,2
-2.256588,53.433057,3189310789920967168,21,1,0,2,0,0.75,0.916666666666667,0.957427107756338,1.22222222222222,1.27656947700845
-2.2566368,53.4411466,-7727797502955529216,73,5,1,2,2,2.5,3,1.73205080756888,1.2,0.692820323027551
-2.2566693,53.4465396,2277113781933741824,53,2,1,3,1,1.75,0.916666666666667,0.957427107756338,0.523809523809524,0.547101204432193
-2.2566856,53.4492361,-6539516393388987392,63,1,1,4,2,2,2,1.4142135623731,1,0.707106781186548
-2.2567127,53.4537303,-4155465383613604352,74,3,2,1,1,1.75,0.916666666666667,0.957427107756338,0.523809523809524,0.547101204432193
-2.2567236,53.455528,3644611249090808320,76,0,3,1,1,1.25,1.58333333333333,1.25830573921179,1.26666666666667,1.00664459136943
-2.2567778,53.4645164,2260235857620370176,113,1,1,4,2,2,2,1.4142135623731,1,0.707106781186548
-2.2568539,53.4771001,-682958741977944320,21,0,0,0,1,0.25,0.25,0.5,1,2
-2.2568702,53.4797966,1963039215706292992,112,0,0,1,0,0.25,0.25,0.5,1,2
-2.2568919,53.4833919,-525235792793170176,326,2,0,2,3,1.75,1.58333333333333,1.25830573921179,0.904761904761905,0.719031850978167
-2.2551799,53.4492393,-860152054007299328,131,7,6,7,5,6.25,0.916666666666667,0.957427107756338,0.146666666666667,0.153188337241014
