"x","y","cell_id","population","infected_DM_0","infected_DM_1","infected_DM_2","infected_DM_3","u","var","sd","IoD","CoV"
-2.2655402,53.4204534,6504529144908220416,22,4,4,5,3,4,0.666666666666667,0.816496580927726,0.166666666666667,0.204124145231932
-2.2655963,53.4294419,8685600517058320384,38,8,6,8,3,6.25,5.58333333333333,2.3629078131263,0.893333333333333,0.378065250100209
-2.2656636,53.4402279,-6954263172235078656,58,4,5,4,1,3.5,3,1.73205080756888,0.857142857142857,0.494871659305394
-2.2656917,53.4447221,-7903444783360770048,59,2,2,2,2,2,0,0,0,0
-2.2657816,53.4591036,8320480176660514816,166,0,1,4,4,2.25,4.25,2.06155281280883,1.88888888888889,0.916245694581702
-2.2658602,53.4716873,3409797590989018624,125,0,1,1,4,1.5,3,1.73205080756888,2,1.15470053837925
-2.2659897,53.4923604,-2365718945364224512,62,0,0,1,0,0.25,0.25,0.5,1,2
-2.2641192,53.4339394,-55301616101183768,54,1,5,5,9,5,10.6666666666667,3.2659863237109,2.13333333333333,0.653197264742181
-2.2641527,53.4393324,-1799129505341421824,68,2,4,5,3,3.5,1.66666666666667,1.29099444873581,0.476190476190476,0.368855556781659
-2.2641806,53.4438266,-6922193285528309760,42,2,4,5,0,2.75,4.91666666666667,2.21735578260835,1.78787878787879,0.806311193675762
-2.2643314,53.4680953,7313461786683338752,27,0,0,0,1,0.25,0.25,0.5,1,2
-2.2643426,53.4698929,-5119406691067266048,46,1,1,1,1,1,0,0,0,0
-2.2645216,53.4986556,-7877119818569645056,55,0,1,0,0,0.25,0.25,0.5,1,2
-2.262481,53.4123705,-794175671944787200,17,0,1,2,0,0.75,0.916666666666667,0.957427107756338,1.22222222222222,1.27656947700845
-2.2625364,53.4213589,-5441153801290021888,93,16,17,18,11,15.5,9.66666666666667,3.1091263510296,0.623655913978495,0.20058879684062
-2.2625531,53.4240555,-5944133414741826560,35,3,4,4,7,4.5,3,1.73205080756888,0.666666666666667,0.38490017945975
-2.2626418,53.4384369,-5608213471952671744,68,8,5,2,6,5.25,6.25,2.5,1.19047619047619,0.476190476190476
-2.262664,53.4420323,-6104919003042739200,74,7,7,8,3,6.25,4.91666666666667,2.21735578260835,0.786666666666667,0.354776925217335
-2.2626751,53.44383,4841772569815309312,21,1,3,1,1,1.5,1,1,0.666666666666667,0.666666666666667
