"x","y","cell_id","population","infected_DM_0","infected_DM_1","infected_DM_2","infected_DM_3","u","var","sd","IoD","CoV"
-2.2656636,53.4402279,-6954263172235078656,58,0,0,1,0,0.25,0.25,0.5,1,2
-2.2656917,53.4447221,-7903444783360770048,59,1,1,0,0,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925
-2.2657816,53.4591036,8320480176660514816,166,1,1,3,0,1.25,1.58333333333333,1.25830573921179,1.26666666666667,1.00664459136943
-2.2658602,53.4716873,3409797590989018624,125,2,1,1,0,1,0.666666666666667,0.816496580927726,0.666666666666667,0.816496580927726
-2.2661361,53.51573,-269399527869249824,18,0,0,0,1,0.25,0.25,0.5,1,2
-2.26617,53.521123,-2832039098631267840,122,0,1,1,0,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925
-2.2641192,53.4339394,-55301616101183768,54,0,0,1,0,0.25,0.25,0.5,1,2
-2.2641806,53.4438266,-6922193285528309760,42,0,0,1,0,0.25,0.25,0.5,1,2
-2.2643314,53.4680953,7313461786683338752,27,0,0,0,1,0.25,0.25,0.5,1,2
-2.2644656,53.4896673,536622626575638272,58,0,0,0,1,0.25,0.25,0.5,1,2
-2.2645216,53.4986556,-7877119818569645056,55,1,1,0,1,0.75,0.25,0.5,0.333333333333333,0.666666666666667
-2.2646225,53.5148345,8300826008003944448,47,0,1,0,0,0.25,0.25,0.5,1,2
-2.2626418,53.4384369,-5608213471952671744,68,0,0,0,1,0.25,0.25,0.5,1,2
-2.2627028,53.4483242,605508225165856512,46,0,1,0,1,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925
-2.2627695,53.4591102,5228304199853583360,192,0,0,2,0,0.5,1,1,2,2
-2.2628028,53.4645032,-4914485009058254848,65,0,1,0,1,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925
-2.2628473,53.4716939,-4730014491813090304,200,0,2,0,2,1,1.33333333333333,1.15470053837925,1.33333333333333,1.15470053837925
-2.2630309,53.5013554,9164094711604889600,56,0,0,1,0,0.25,0.25,0.5,1,2
-2.2630699,53.5076472,4503625846425484800,77,0,0,1,0,0.25,0.25,0.5,1,2
-2.2631144,53.5148379,-3073497136195454464,31,0,1,0,0,0.25,0.25,0.5,1,2
-2.2631423,53.519332,3627737104511066624,208,2,0,0,2,1,1.33333333333333,1.15470053837925,1.33333333333333,1.15470053837925
-2.2612027,53.4492263,-2768365916960628224,37,0,0,0,1,0.25,0.25,0.5,1,2
-2.2615843,53.5112459,6352954652170279936,42,0,0,0,1,0.25,0.25,0.5,1,2
-2.2595982,53.4330505,4728380058564738048,114,1,0,0,0,0.25,0.25,0.5,1,2
-2.2596311,53.4384435,2486736712152068608,53,0,1,0,0,0.25,0.25,0.5,1,2
-2.2597574,53.4591168,8864222466996233216,100,0,1,0,0,0.25,0.25,0.5,1,2
-2.2598068,53.4672063,5538582275697341440,93,0,1,0,0,0.25,0.25,0.5,1,2
-2.2598233,53.4699029,5428003152784542720,82,1,1,0,1,0.75,0.25,0.5,0.333333333333333,0.666666666666667
-2.2599002,53.4824865,1937378668414715648,62,0,0,1,0,0.25,0.25,0.5,1,2
-2.2599167,53.485183,5081524606056244224,68,0,2,1,0,0.75,0.916666666666667,0.957427107756338,1.22222222222222,1.27656947700845
-2.2581258,53.4384468,2641711967522112000,22,1,0,0,0,0.25,0.25,0.5,1,2
-2.2581804,53.4474352,-4295180408545597952,160,0,0,1,0,0.25,0.25,0.5,1,2
-2.2582513,53.4591201,-1007389654633267456,96,1,0,0,0,0.25,0.25,0.5,1,2
-2.258295,53.4663108,-3233283323207055872,99,0,1,0,1,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925
-2.2583332,53.4726026,1459857957755788032,167,0,0,1,2,0.75,0.916666666666667,0.957427107756338,1.22222222222222,1.27656947700845
-2.2585137,53.5022641,-5992403126214425600,97,1,0,0,0,0.25,0.25,0.5,1,2
-2.2566693,53.4465396,2277113781933741824,53,1,0,0,0,0.25,0.25,0.5,1,2
-2.2567236,53.455528,3644611249090808320,76,1,0,0,0,0.25,0.25,0.5,1,2
-2.2567778,53.4645164,2260235857620370176,113,0,1,0,0,0.25,0.25,0.5,1,2
-2.2568539,53.4771001,-682958741977944320,21,0,0,0,1,0.25,0.25,0.5,1,2
-2.2568919,53.4833919,-525235792793170176,326,0,2,2,2,1.5,1,1,0.666666666666667,0.666666666666667
-2.2572895,53.5490064,7610614802729408512,74,0,0,1,1,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925
-2.2551799,53.4492393,-860152054007299328,131,0,0,0,1,0.25,0.25,0.5,1,2
-2.2552824,53.4663173,5793172649282263040,129,1,0,0,0,0.25,0.25,0.5,1,2
-2.2554932,53.5013718,-158159025146785056,74,0,2,0,0,0.5,1,1,2,2
-2.2555202,53.5058659,6673074221816139776,90,0,1,0,0,0.25,0.25,0.5,1,2
-2.2555364,53.5085624,-781433892062738688,114,0,0,1,0,0.25,0.25,0.5,1,2
-2.2556231,53.5229437,4978291221835222016,75,0,0,0,1,0.25,0.25,0.5,1,2
-2.2557857,53.5499085,-8275492292980668416,64,1,0,0,0,0.25,0.25,0.5,1,2
-2.2537654,53.4645228,6611880053056355328,72,0,1,0,0,0.25,0.25,0.5,1,2
-2.2537976,53.4699158,56118646441252584,104,0,0,0,1,0.25,0.25,0.5,1,2
-2.2539157,53.4896902,-3352035843012958720,143,0,0,0,1,0.25,0.25,0.5,1,2
-2.2541255,53.5247446,4639672873337064448,102,0,0,1,1,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925
-2.2541309,53.5256434,-5418371029922270208,112,1,1,0,0,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925
-2.2525155,53.50767,-8523066058572685312,240,1,1,1,1,1,0,0,0,0
-2.2527618,53.5490161,1616967849173287680,29,1,0,0,0,0.25,0.25,0.5,1,2
-2.2509811,53.503179,9001486773051361280,97,3,0,0,0,0.75,2.25,1.5,3,2
-2.2510024,53.5067744,-2557810717951219200,141,1,0,1,1,0.75,0.25,0.5,0.333333333333333,0.666666666666667
-2.2510556,53.5157627,5429944174773963776,66,0,0,0,1,0.25,0.25,0.5,1,2
-2.2510822,53.5202568,1735569156278254336,102,0,1,0,0,0.25,0.25,0.5,1,2
-2.2511194,53.5265486,6596890291286632448,65,1,0,0,0,0.25,0.25,0.5,1,2
-2.249574,53.52026,3829832849524447744,24,1,0,0,0,0.25,0.25,0.5,1,2
-2.2477718,53.4699285,7308690779256961024,138,0,0,0,1,0.25,0.25,0.5,1,2
-2.2480027,53.5094772,2689816657539828224,85,0,0,2,0,0.5,1,1,2,2
-2.2480184,53.5121736,1421852863175413504,105,0,0,1,1,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925
-2.2461665,53.4528537,5070807781310827520,99,0,0,1,0,0.25,0.25,0.5,1,2
-2.2464844,53.5076826,6371666428633347072,69,1,0,0,0,0.25,0.25,0.5,1,2
-2.2464896,53.5085814,4055172485273683456,115,0,0,1,0,0.25,0.25,0.5,1,2
-2.2449559,53.5040904,-6798064982966678528,122,0,1,0,0,0.25,0.25,0.5,1,2
-2.2417563,53.4717385,-8856656228966393856,456,0,0,0,1,0.25,0.25,0.5,1,2
-2.2417717,53.474435,-5335441571831362560,361,0,1,0,0,0.25,0.25,0.5,1,2
-2.2387635,53.4753399,-2367741057041241600,475,0,1,0,0,0.25,0.25,0.5,1,2
-2.2389607,53.5103944,6869085253351552000,212,1,0,0,0,0.25,0.25,0.5,1,2
-2.23593,53.5077039,1653335463837167360,92,0,0,0,1,0.25,0.25,0.5,1,2
-2.235985,53.5175911,4566338259240275456,99,0,2,1,0,0.75,0.916666666666667,0.957427107756338,1.22222222222222,1.27656947700845
-2.236025,53.5247817,-7566956899198550016,135,1,0,0,0,0.25,0.25,0.5,1,2
-2.2686801,53.44112,1561323099836115712,77,0,0,1,0,0.25,0.25,0.5,1,2
-2.2687482,53.4519061,592912121648589568,16,0,1,0,0,0.25,0.25,0.5,1,2
-2.2687539,53.4528049,4435147735059116544,95,0,0,2,0,0.5,1,1,2,2
-2.2688334,53.4653887,-8738292539663768576,226,1,3,1,0,1.25,1.58333333333333,1.25830573921179,1.26666666666667,1.00664459136943
-2.2688789,53.4725793,2659463657952668160,11,0,0,0,1,0.25,0.25,0.5,1,2
-2.269061,53.501342,2.520180411402e+18,60,0,1,0,1,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925
-2.2692606,53.532801,-5448819283444573184,103,0,1,0,0,0.25,0.25,0.5,1,2
-2.2692663,53.5336998,3001453658564518400,85,1,0,1,1,0.75,0.25,0.5,0.333333333333333,0.666666666666667
-2.2671803,53.4420223,8472544758162132992,52,0,0,1,0,0.25,0.25,0.5,1,2
