"x","y","cell_id","population","infected_DM_0","infected_DM_1","infected_DM_2","infected_DM_3","u","var","sd","IoD","CoV"
-2.2655402,53.4204534,6504529144908220416,22,2,8,2,4,4,8,2.82842712474619,2,0.707106781186548
-2.2655963,53.4294419,8685600517058320384,38,5,1,3,4,3.25,2.91666666666667,1.70782512765993,0.897435897435897,0.525484654664595
-2.2656636,53.4402279,-6954263172235078656,58,5,5,2,1,3.25,4.25,2.06155281280883,1.30769230769231,0.634323942402717
-2.2656917,53.4447221,-7903444783360770048,59,2,1,0,2,1.25,0.916666666666667,0.957427107756338,0.733333333333333,0.765941686205071
-2.2657816,53.4591036,8320480176660514816,166,0,0,1,1,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925
-2.2639186,53.401581,8774893376785942528,38,2,1,2,1,1.5,0.333333333333333,0.577350269189626,0.222222222222222,0.38490017945975
-2.263952,53.4069741,-2540649673480081920,6,1,1,1,2,1.25,0.25,0.5,0.2,0.4
-2.2641192,53.4339394,-55301616101183768,54,3,3,1,3,2.5,1,1,0.4,0.4
-2.2641527,53.4393324,-1799129505341421824,68,0,4,7,3,3.5,8.33333333333333,2.88675134594813,2.38095238095238,0.824786098842323
-2.2641806,53.4438266,-6922193285528309760,42,1,2,0,2,1.25,0.916666666666667,0.957427107756338,0.733333333333333,0.765941686205071
-2.2624367,53.4051797,6558309216546043904,70,4,5,7,4,5,2,1.4142135623731,0.4,0.282842712474619
-2.2624422,53.4060786,-8688582507733682176,25,1,4,4,0,2.25,4.25,2.06155281280883,1.88888888888889,0.916245694581702
-2.262481,53.4123705,-794175671944787200,17,2,3,4,5,3.5,1.66666666666667,1.29099444873581,0.476190476190476,0.368855556781659
-2.2625364,53.4213589,-5441153801290021888,93,23,21,15,21,20,12,3.46410161513775,0.6,0.173205080756888
-2.2625531,53.4240555,-5944133414741826560,35,8,8,7,3,6.5,5.66666666666667,2.38047614284762,0.871794871794872,0.366227098899633
-2.2626418,53.4384369,-5608213471952671744,68,2,2,3,4,2.75,0.916666666666667,0.957427107756338,0.333333333333333,0.348155311911396
-2.262664,53.4420323,-6104919003042739200,74,1,1,1,3,1.5,1,1,0.666666666666667,0.666666666666667
-2.2626751,53.44383,4841772569815309312,21,2,0,1,0,0.75,0.916666666666667,0.957427107756338,1.22222222222222,1.27656947700845
-2.2627028,53.4483242,605508225165856512,46,0,0,1,0,0.25,0.25,0.5,1,2
-2.2627695,53.4591102,5228304199853583360,192,2,2,1,0,1.25,0.916666666666667,0.957427107756338,0.733333333333333,0.765941686205071
-2.2609546,53.4087784,-6054602705832647680,47,3,4,7,5,4.75,2.91666666666667,1.70782512765993,0.614035087719298,0.359542132138933
-2.2610152,53.4186657,5173944745410239488,41,6,9,5,6,6.5,3,1.73205080756888,0.461538461538462,0.266469355010596
-2.2610427,53.4231599,-97734301553612064,25,4,6,4,4,4.5,1,1,0.222222222222222,0.222222222222222
