"x","y","cell_id","population","infected_DM_0","infected_DM_1","infected_DM_2","infected_DM_3","u","var","sd","IoD","CoV"
-2.2655402,53.4204534,6504529144908220416,22,1,5,3,2,2.75,2.91666666666667,1.70782512765993,1.06060606060606,0.621027319149067
-2.2655963,53.4294419,8685600517058320384,38,3,6,5,1,3.75,4.91666666666667,2.21735578260835,1.31111111111111,0.591294875362225
-2.2656636,53.4402279,-6954263172235078656,58,2,3,5,3,3.25,1.58333333333333,1.25830573921179,0.487179487179487,0.387170996680551
-2.2656917,53.4447221,-7903444783360770048,59,1,3,1,3,2,1.33333333333333,1.15470053837925,0.666666666666667,0.577350269189626
-2.2657816,53.4591036,8320480176660514816,166,2,6,5,4,4.25,2.91666666666667,1.70782512765993,0.686274509803922,0.40184120650822
-2.2658602,53.4716873,3409797590989018624,125,7,1,1,4,3.25,8.25,2.87228132326901,2.53846153846154,0.883778868698158
-2.26617,53.521123,-2832039098631267840,122,1,0,0,0,0.25,0.25,0.5,1,2
-2.2641192,53.4339394,-55301616101183768,54,8,5,4,1,4.5,8.33333333333333,2.88675134594813,1.85185185185185,0.641500299099584
-2.2641527,53.4393324,-1799129505341421824,68,6,5,6,1,4.5,5.66666666666667,2.38047614284762,1.25925925925926,0.528994698410581
-2.2641806,53.4438266,-6922193285528309760,42,3,2,0,2,1.75,1.58333333333333,1.25830573921179,0.904761904761905,0.719031850978167
-2.2643314,53.4680953,7313461786683338752,27,0,0,1,0,0.25,0.25,0.5,1,2
-2.2643426,53.4698929,-5119406691067266048,46,0,0,2,1,0.75,0.916666666666667,0.957427107756338,1.22222222222222,1.27656947700845
-2.2644656,53.4896673,536622626575638272,58,0,0,1,0,0.25,0.25,0.5,1,2
-2.2645216,53.4986556,-7877119818569645056,55,0,1,0,0,0.25,0.25,0.5,1,2
-2.262481,53.4123705,-794175671944787200,17,0,1,0,0,0.25,0.25,0.5,1,2
-2.2625364,53.4213589,-5441153801290021888,93,5,5,5,6,5.25,0.25,0.5,0.0476190476190476,0.0952380952380952
-2.2625531,53.4240555,-5944133414741826560,35,2,2,2,4,2.5,1,1,0.4,0.4
-2.2626418,53.4384369,-5608213471952671744,68,1,3,2,4,2.5,1.66666666666667,1.29099444873581,0.666666666666667,0.516397779494322
-2.262664,53.4420323,-6104919003042739200,74,2,6,7,4,4.75,4.91666666666667,2.21735578260835,1.03508771929825,0.46681174370702
-2.2626751,53.44383,4841772569815309312,21,3,3,0,0,1.5,3,1.73205080756888,2,1.15470053837925
-2.2627028,53.4483242,605508225165856512,46,0,2,1,1,1,0.666666666666667,0.816496580927726,0.666666666666667,0.816496580927726
-2.2627695,53.4591102,5228304199853583360,192,4,6,3,3,4,2,1.4142135623731,0.5,0.353553390593274
-2.2628028,53.4645032,-4914485009058254848,65,0,1,3,0,1,2,1.4142135623731,2,1.4142135623731
-2.2628473,53.4716939,-4730014491813090304,200,2,5,3,1,2.75,2.91666666666667,1.70782512765993,1.06060606060606,0.621027319149067
-2.2630309,53.5013554,9164094711604889600,56,0,0,1,0,0.25,0.25,0.5,1,2
-2.2631423,53.519332,3627737104511066624,208,0,1,0,0,0.25,0.25,0.5,1,2
-2.2609546,53.4087784,-6054602705832647680,47,0,0,0,1,0.25,0.25,0.5,1,2
-2.2610152,53.4186657,5173944745410239488,41,1,0,1,0,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925
-2.2610427,53.4231599,-97734301553612064,25,2,1,0,1,1,0.666666666666667,0.816496580927726,0.666666666666667,0.816496580927726
-2.2612027,53.4492263,-2768365916960628224,37,2,2,2,3,2.25,0.25,0.5,0.111111111111111,0.222222222222222
-2.2614182,53.4842809,974804121586507520,136,2,2,3,4,2.75,0.916666666666667,0.957427107756338,0.333333333333333,0.348155311911396
-2.2615178,53.5004599,525851067126723328,48,1,0,0,1,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925
-2.2595106,53.418669,1878073865649755904,87,1,0,1,2,1,0.666666666666667,0.816496580927726,0.666666666666667,0.816496580927726
-2.259516,53.4195678,-6359262275304226816,51,2,2,2,0,1.5,1,1,0.666666666666667,0.666666666666667
-2.2595928,53.4321516,-3186463172877651456,34,3,2,2,1,2,0.666666666666667,0.816496580927726,0.333333333333333,0.408248290463863
-2.2595982,53.4330505,4728380058564738048,114,4,7,6,7,6,2,1.4142135623731,0.333333333333333,0.235702260395516
-2.2596037,53.4339493,-4347429581144011264,84,7,0,3,7,4.25,11.5833333333333,3.40342964277702,2.72549019607843,0.800806974771064
-2.2596311,53.4384435,2486736712152068608,53,2,5,1,2,2.5,3,1.73205080756888,1.2,0.692820323027551
-2.2596641,53.4438366,6267195244730139648,24,0,1,1,0,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925
-2.2596805,53.4465331,4813593830928761856,67,5,2,3,5,3.75,2.25,1.5,0.6,0.4
-2.2597299,53.4546226,6467569402093212672,35,1,1,2,1,1.25,0.25,0.5,0.2,0.4
-2.2597574,53.4591168,8864222466996233216,100,3,6,3,7,4.75,4.25,2.06155281280883,0.894736842105263,0.43401111848607
