"x","y","cell_id","population","infected_DM_0","infected_DM_1","infected_DM_2","infected_DM_3","u","var","sd","IoD","CoV"
-2.2655402,53.4204534,6504529144908220416,22,1,3,3,0,1.75,2.25,1.5,1.28571428571429,0.857142857142857
-2.2655963,53.4294419,8685600517058320384,38,1,0,0,1,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925
-2.2656636,53.4402279,-6954263172235078656,58,0,0,0,1,0.25,0.25,0.5,1,2
-2.2656917,53.4447221,-7903444783360770048,59,0,0,0,1,0.25,0.25,0.5,1,2
-2.263952,53.4069741,-2540649673480081920,6,1,0,0,0,0.25,0.25,0.5,1,2
-2.2641192,53.4339394,-55301616101183768,54,1,0,0,2,0.75,0.916666666666667,0.957427107756338,1.22222222222222,1.27656947700845
-2.2641527,53.4393324,-1799129505341421824,68,2,0,3,1,1.5,1.66666666666667,1.29099444873581,1.11111111111111,0.86066296582387
-2.2641806,53.4438266,-6922193285528309760,42,0,0,0,1,0.25,0.25,0.5,1,2
-2.2624367,53.4051797,6558309216546043904,70,1,0,0,0,0.25,0.25,0.5,1,2
-2.262481,53.4123705,-794175671944787200,17,0,1,1,1,0.75,0.25,0.5,0.333333333333333,0.666666666666667
-2.2625364,53.4213589,-5441153801290021888,93,6,8,6,7,6.75,0.916666666666667,0.957427107756338,0.135802469135802,0.141841053000939
-2.2625531,53.4240555,-5944133414741826560,35,2,1,2,5,2.5,3,1.73205080756888,1.2,0.692820323027551
-2.2626418,53.4384369,-5608213471952671744,68,1,1,4,1,1.75,2.25,1.5,1.28571428571429,0.857142857142857
-2.262664,53.4420323,-6104919003042739200,74,0,3,0,2,1.25,2.25,1.5,1.8,1.2
-2.2626751,53.44383,4841772569815309312,21,0,0,1,0,0.25,0.25,0.5,1,2
-2.2627695,53.4591102,5228304199853583360,192,1,0,3,0,1,2,1.4142135623731,2,1.4142135623731
-2.2628473,53.4716939,-4730014491813090304,200,0,1,0,0,0.25,0.25,0.5,1,2
-2.2609546,53.4087784,-6054602705832647680,47,1,1,1,0,0.75,0.25,0.5,0.333333333333333,0.666666666666667
-2.2610152,53.4186657,5173944745410239488,41,4,5,4,1,3.5,3,1.73205080756888,0.857142857142857,0.494871659305394
-2.2610427,53.4231599,-97734301553612064,25,1,1,0,4,1.5,3,1.73205080756888,2,1.15470053837925
-2.2595106,53.418669,1878073865649755904,87,5,6,2,3,4,3.33333333333333,1.82574185835055,0.833333333333333,0.456435464587638
-2.259516,53.4195678,-6359262275304226816,51,3,3,2,0,2,2,1.4142135623731,1,0.707106781186548
-2.2595928,53.4321516,-3186463172877651456,34,0,1,0,0,0.25,0.25,0.5,1,2
-2.2595982,53.4330505,4728380058564738048,114,3,3,6,2,3.5,3,1.73205080756888,0.857142857142857,0.494871659305394
-2.2596037,53.4339493,-4347429581144011264,84,1,1,4,3,2.25,2.25,1.5,1,0.666666666666667
-2.2596311,53.4384435,2486736712152068608,53,0,2,1,1,1,0.666666666666667,0.816496580927726,0.666666666666667,0.816496580927726
-2.2596641,53.4438366,6267195244730139648,24,2,0,0,0,0.5,1,1,2,2
