"x","y","cell_id","population","infected_DM_0","infected_DM_1","infected_DM_2","infected_DM_3","u","var","sd","IoD","CoV"
-2.2655402,53.4204534,6504529144908220416,22,0,0,2,0,0.5,1,1,2,2
-2.2655963,53.4294419,8685600517058320384,38,4,0,2,1,1.75,2.91666666666667,1.70782512765993,1.66666666666667,0.975900072948533
-2.2656636,53.4402279,-6954263172235078656,58,0,1,3,2,1.5,1.66666666666667,1.29099444873581,1.11111111111111,0.86066296582387
-2.2656917,53.4447221,-7903444783360770048,59,1,0,1,4,1.5,3,1.73205080756888,2,1.15470053837925
-2.2657816,53.4591036,8320480176660514816,166,7,6,2,4,4.75,4.91666666666667,2.21735578260835,1.03508771929825,0.46681174370702
-2.2658602,53.4716873,3409797590989018624,125,2,4,4,2,3,1.33333333333333,1.15470053837925,0.444444444444444,0.38490017945975
-2.2661361,53.51573,-269399527869249824,18,0,0,0,1,0.25,0.25,0.5,1,2
-2.26617,53.521123,-2832039098631267840,122,1,0,0,0,0.25,0.25,0.5,1,2
-2.2641192,53.4339394,-55301616101183768,54,4,2,1,2,2.25,1.58333333333333,1.25830573921179,0.703703703703704,0.559246995205241
-2.2641527,53.4393324,-1799129505341421824,68,2,4,4,1,2.75,2.25,1.5,0.818181818181818,0.545454545454545
-2.2641806,53.4438266,-6922193285528309760,42,2,2,1,5,2.5,3,1.73205080756888,1.2,0.692820323027551
-2.2643426,53.4698929,-5119406691067266048,46,0,0,0,1,0.25,0.25,0.5,1,2
-2.2644656,53.4896673,536622626575638272,58,2,1,1,1,1.25,0.25,0.5,0.2,0.4
-2.2625364,53.4213589,-5441153801290021888,93,0,1,0,2,0.75,0.916666666666667,0.957427107756338,1.22222222222222,1.27656947700845
-2.2625531,53.4240555,-5944133414741826560,35,2,1,0,0,0.75,0.916666666666667,0.957427107756338,1.22222222222222,1.27656947700845
-2.2626418,53.4384369,-5608213471952671744,68,5,1,1,1,2,4,2,2,1
-2.262664,53.4420323,-6104919003042739200,74,6,2,3,0,2.75,6.25,2.5,2.27272727272727,0.909090909090909
-2.2626751,53.44383,4841772569815309312,21,1,1,1,1,1,0,0,0,0
-2.2627028,53.4483242,605508225165856512,46,1,4,2,3,2.5,1.66666666666667,1.29099444873581,0.666666666666667,0.516397779494322
-2.2627695,53.4591102,5228304199853583360,192,3,8,7,7,6.25,4.91666666666667,2.21735578260835,0.786666666666667,0.354776925217335
-2.2628028,53.4645032,-4914485009058254848,65,0,1,3,2,1.5,1.66666666666667,1.29099444873581,1.11111111111111,0.86066296582387
-2.2628473,53.4716939,-4730014491813090304,200,3,4,5,5,4.25,0.916666666666667,0.957427107756338,0.215686274509804,0.225276966530903
-2.2630309,53.5013554,9164094711604889600,56,0,1,0,0,0.25,0.25,0.5,1,2
-2.2630699,53.5076472,4503625846425484800,77,0,0,0,1,0.25,0.25,0.5,1,2
-2.2631423,53.519332,3627737104511066624,208,1,0,2,0,0.75,0.916666666666667,0.957427107756338,1.22222222222222,1.27656947700845
-2.2612027,53.4492263,-2768365916960628224,37,2,0,1,1,1,0.666666666666667,0.816496580927726,0.666666666666667,0.816496580927726
-2.2614182,53.4842809,974804121586507520,136,3,4,2,5,3.5,1.66666666666667,1.29099444873581,0.476190476190476,0.368855556781659
-2.2615178,53.5004599,525851067126723328,48,0,0,0,1,0.25,0.25,0.5,1,2
-2.2595928,53.4321516,-3186463172877651456,34,0,1,0,0,0.25,0.25,0.5,1,2
-2.2595982,53.4330505,4728380058564738048,114,2,3,3,2,2.5,0.333333333333333,0.577350269189626,0.133333333333333,0.23094010767585
-2.2596037,53.4339493,-4347429581144011264,84,0,0,3,0,0.75,2.25,1.5,3,2
-2.2596311,53.4384435,2486736712152068608,53,2,1,1,2,1.5,0.333333333333333,0.577350269189626,0.222222222222222,0.38490017945975
-2.2596641,53.4438366,6267195244730139648,24,0,0,1,0,0.25,0.25,0.5,1,2
-2.2596805,53.4465331,4813593830928761856,67,3,4,4,3,3.5,0.333333333333333,0.577350269189626,0.0952380952380952,0.164957219768465
-2.2597299,53.4546226,6467569402093212672,35,4,0,2,1,1.75,2.91666666666667,1.70782512765993,1.66666666666667,0.975900072948533
-2.2597574,53.4591168,8864222466996233216,100,4,7,5,4,5,2,1.4142135623731,0.4,0.282842712474619
-2.2598068,53.4672063,5538582275697341440,93,0,1,3,2,1.5,1.66666666666667,1.29099444873581,1.11111111111111,0.86066296582387
-2.2598233,53.4699029,5428003152784542720,82,3,2,0,0,1.25,2.25,1.5,1.8,1.2
-2.2599002,53.4824865,1937378668414715648,62,2,1,1,0,1,0.666666666666667,0.816496580927726,0.666666666666667,0.816496580927726
-2.2599167,53.485183,5081524606056244224,68,0,0,1,1,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925
-2.258104,53.4348514,4541397942516936192,97,1,1,2,0,1,0.666666666666667,0.816496580927726,0.666666666666667,0.816496580927726
-2.2581258,53.4384468,2641711967522112000,22,1,0,1,0,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925
-2.2581586,53.4438398,4768270369095828480,28,1,0,2,0,0.75,0.916666666666667,0.957427107756338,1.22222222222222,1.27656947700845
-2.2581804,53.4474352,-4295180408545597952,160,9,7,8,7,7.75,0.916666666666667,0.957427107756338,0.118279569892473,0.123538981645979
-2.2582077,53.4519294,9205998164829418496,45,0,0,0,2,0.5,1,1,2,2
-2.2582131,53.4528282,7688969206081764352,72,1,2,2,2,1.75,0.25,0.5,0.142857142857143,0.285714285714286
-2.2582513,53.4591201,-1007389654633267456,96,2,5,4,3,3.5,1.66666666666667,1.29099444873581,0.476190476190476,0.368855556781659
-2.258295,53.4663108,-3233283323207055872,99,2,2,3,5,3,2,1.4142135623731,0.666666666666667,0.471404520791032
