"x","y","cell_id","population","infected_DM_0","infected_DM_1","infected_DM_2","infected_DM_3","u","var","sd","IoD","CoV"
-2.2655402,53.4204534,6504529144908220416,22,4,1,3,2,2.5,1.66666666666667,1.29099444873581,0.666666666666667,0.516397779494322
-2.2655963,53.4294419,8685600517058320384,38,8,6,4,3,5.25,4.91666666666667,2.21735578260835,0.936507936507937,0.42235348240159
-2.2656636,53.4402279,-6954263172235078656,58,5,6,3,6,5,2,1.4142135623731,0.4,0.282842712474619
-2.2656917,53.4447221,-7903444783360770048,59,4,6,3,4,4.25,1.58333333333333,1.25830573921179,0.372549019607843,0.296071938638069
-2.2657816,53.4591036,8320480176660514816,166,7,4,5,3,4.75,2.91666666666667,1.70782512765993,0.614035087719298,0.359542132138933
-2.2658602,53.4716873,3409797590989018624,125,1,4,3,1,2.25,2.25,1.5,1,0.666666666666667
-2.2659897,53.4923604,-2365718945364224512,62,1,0,3,0,1,2,1.4142135623731,2,1.4142135623731
-2.2641192,53.4339394,-55301616101183768,54,4,2,5,7,4.5,4.33333333333333,2.08166599946613,0.962962962962963,0.462592444325807
-2.2641527,53.4393324,-1799129505341421824,68,7,6,4,7,6,2,1.4142135623731,0.333333333333333,0.235702260395516
-2.2641806,53.4438266,-6922193285528309760,42,3,3,2,2,2.5,0.333333333333333,0.577350269189626,0.133333333333333,0.23094010767585
-2.2643314,53.4680953,7313461786683338752,27,0,2,0,1,0.75,0.916666666666667,0.957427107756338,1.22222222222222,1.27656947700845
-2.2643426,53.4698929,-5119406691067266048,46,0,2,0,2,1,1.33333333333333,1.15470053837925,1.33333333333333,1.15470053837925
-2.262481,53.4123705,-794175671944787200,17,0,0,1,0,0.25,0.25,0.5,1,2
-2.2625364,53.4213589,-5441153801290021888,93,12,11,14,9,11.5,4.33333333333333,2.08166599946613,0.376811594202899,0.181014434736185
-2.2625531,53.4240555,-5944133414741826560,35,5,2,4,3,3.5,1.66666666666667,1.29099444873581,0.476190476190476,0.368855556781659
-2.2626418,53.4384369,-5608213471952671744,68,4,3,9,7,5.75,7.58333333333333,2.75378527364305,1.31884057971014,0.478919178024878
-2.262664,53.4420323,-6104919003042739200,74,1,9,3,9,5.5,17,4.12310562561766,3.09090909090909,0.74965556829412
-2.2626751,53.44383,4841772569815309312,21,1,1,3,2,1.75,0.916666666666667,0.957427107756338,0.523809523809524,0.547101204432193
-2.2627028,53.4483242,605508225165856512,46,2,4,4,3,3.25,0.916666666666667,0.957427107756338,0.282051282051282,0.294592956232719
-2.2627695,53.4591102,5228304199853583360,192,10,14,5,5,8.5,19,4.35889894354067,2.23529411764706,0.51281164041655
-2.2628028,53.4645032,-4914485009058254848,65,0,2,0,0,0.5,1,1,2,2
-2.2628473,53.4716939,-4730014491813090304,200,6,3,4,2,3.75,2.91666666666667,1.70782512765993,0.777777777777778,0.455420034042649
-2.2630699,53.5076472,4503625846425484800,77,1,0,1,1,0.75,0.25,0.5,0.333333333333333,0.666666666666667
-2.2610152,53.4186657,5173944745410239488,41,1,8,0,2,2.75,12.9166666666667,3.5939764421413,4.6969696969697,1.30690052441502
-2.2610427,53.4231599,-97734301553612064,25,4,3,3,2,3,0.666666666666667,0.816496580927726,0.222222222222222,0.272165526975909
-2.2612027,53.4492263,-2768365916960628224,37,0,1,1,5,1.75,4.91666666666667,2.21735578260835,2.80952380952381,1.26706044720477
-2.2614182,53.4842809,974804121586507520,136,1,1,3,2,1.75,0.916666666666667,0.957427107756338,0.523809523809524,0.547101204432193
-2.2595106,53.418669,1878073865649755904,87,6,5,6,4,5.25,0.916666666666667,0.957427107756338,0.174603174603175,0.182367068144064
-2.259516,53.4195678,-6359262275304226816,51,0,0,0,4,1,4,2,4,2
-2.2595928,53.4321516,-3186463172877651456,34,1,2,5,2,2.5,3,1.73205080756888,1.2,0.692820323027551
-2.2595982,53.4330505,4728380058564738048,114,15,8,10,9,10.5,9.66666666666667,3.1091263510296,0.920634920634921,0.296107271526629
-2.2596037,53.4339493,-4347429581144011264,84,14,5,5,6,7.5,19,4.35889894354067,2.53333333333333,0.581186525805423
-2.2596311,53.4384435,2486736712152068608,53,10,1,8,5,6,15.3333333333333,3.91578004149024,2.55555555555556,0.652630006915041
-2.2596641,53.4438366,6267195244730139648,24,1,1,4,2,2,2,1.4142135623731,1,0.707106781186548
-2.2596805,53.4465331,4813593830928761856,67,4,4,5,1,3.5,3,1.73205080756888,0.857142857142857,0.494871659305394
-2.2597299,53.4546226,6467569402093212672,35,3,0,2,1,1.5,1.66666666666667,1.29099444873581,1.11111111111111,0.86066296582387
-2.2597574,53.4591168,8864222466996233216,100,5,5,7,3,5,2.66666666666667,1.63299316185545,0.533333333333333,0.32659863237109
-2.2598068,53.4672063,5538582275697341440,93,1,1,0,1,0.75,0.25,0.5,0.333333333333333,0.666666666666667
-2.2598233,53.4699029,5428003152784542720,82,3,1,1,1,1.5,1,1,0.666666666666667,0.666666666666667
-2.2599002,53.4824865,1937378668414715648,62,1,0,0,0,0.25,0.25,0.5,1,2
-2.2599167,53.485183,5081524606056244224,68,2,0,1,2,1.25,0.916666666666667,0.957427107756338,0.733333333333333,0.765941686205071
-2.2580223,53.4213688,-4.182704147092e+18,80,5,4,4,3,4,0.666666666666667,0.816496580927726,0.166666666666667,0.204124145231932
-2.2580277,53.4222676,-5187000936324132864,38,1,4,3,3,2.75,1.58333333333333,1.25830573921179,0.575757575757576,0.457565723349742
-2.258104,53.4348514,4541397942516936192,97,6,7,9,4,6.5,4.33333333333333,2.08166599946613,0.666666666666667,0.320256307610174
-2.2581586,53.4438398,4768270369095828480,28,3,1,3,5,3,2.66666666666667,1.63299316185545,0.888888888888889,0.544331053951817
-2.2581804,53.4474352,-4295180408545597952,160,8,9,6,7,7.5,1.66666666666667,1.29099444873581,0.222222222222222,0.172132593164774
-2.2582077,53.4519294,9205998164829418496,45,0,0,0,2,0.5,1,1,2,2
-2.2582131,53.4528282,7688969206081764352,72,3,4,4,4,3.75,0.25,0.5,0.0666666666666667,0.133333333333333
-2.2582513,53.4591201,-1007389654633267456,96,2,4,7,4,4.25,4.25,2.06155281280883,1,0.485071250072666
-2.258295,53.4663108,-3233283323207055872,99,4,4,2,2,3,1.33333333333333,1.15470053837925,0.444444444444444,0.38490017945975
-2.2583332,53.4726026,1459857957755788032,167,1,3,3,4,2.75,1.58333333333333,1.25830573921179,0.575757575757576,0.457565723349742
-2.256588,53.433057,3189310789920967168,21,1,2,3,2,2,0.666666666666667,0.816496580927726,0.333333333333333,0.408248290463863
-2.2566368,53.4411466,-7727797502955529216,73,4,6,10,10,7.5,9,3,1.2,0.4
-2.2566693,53.4465396,2277113781933741824,53,1,4,1,2,2,2,1.4142135623731,1,0.707106781186548
-2.2566856,53.4492361,-6539516393388987392,63,4,2,0,5,2.75,4.91666666666667,2.21735578260835,1.78787878787879,0.806311193675762
