"x","y","cell_id","population","infected_DM_0","infected_DM_1","infected_DM_2","infected_DM_3","u","var","sd","IoD","CoV"
-2.2655402,53.4204534,6504529144908220416,22,1,1,2,2,1.5,0.333333333333333,0.577350269189626,0.222222222222222,0.38490017945975
-2.2655963,53.4294419,8685600517058320384,38,1,1,1,3,1.5,1,1,0.666666666666667,0.666666666666667
-2.2656636,53.4402279,-6954263172235078656,58,0,0,1,0,0.25,0.25,0.5,1,2
-2.2656917,53.4447221,-7903444783360770048,59,0,0,1,1,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925
-2.2657816,53.4591036,8320480176660514816,166,0,1,0,0,0.25,0.25,0.5,1,2
-2.2641192,53.4339394,-55301616101183768,54,2,1,0,0,0.75,0.916666666666667,0.957427107756338,1.22222222222222,1.27656947700845
-2.2641527,53.4393324,-1799129505341421824,68,0,3,0,0,0.75,2.25,1.5,3,2
-2.2624367,53.4051797,6558309216546043904,70,0,0,0,1,0.25,0.25,0.5,1,2
-2.2624422,53.4060786,-8688582507733682176,25,1,0,0,0,0.25,0.25,0.5,1,2
-2.262481,53.4123705,-794175671944787200,17,4,2,2,2,2.5,1,1,0.4,0.4
-2.2625364,53.4213589,-5441153801290021888,93,14,14,6,12,11.5,14.3333333333333,3.78593889720018,1.2463768115942,0.329212078017407
-2.2625531,53.4240555,-5944133414741826560,35,2,4,4,1,2.75,2.25,1.5,0.818181818181818,0.545454545454545
-2.2626418,53.4384369,-5608213471952671744,68,1,1,1,0,0.75,0.25,0.5,0.333333333333333,0.666666666666667
-2.262664,53.4420323,-6104919003042739200,74,1,1,0,1,0.75,0.25,0.5,0.333333333333333,0.666666666666667
-2.2626751,53.44383,4841772569815309312,21,2,0,0,1,0.75,0.916666666666667,0.957427107756338,1.22222222222222,1.27656947700845
-2.2627028,53.4483242,605508225165856512,46,1,0,0,0,0.25,0.25,0.5,1,2
-2.2627695,53.4591102,5228304199853583360,192,0,1,0,1,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925
-2.2609546,53.4087784,-6054602705832647680,47,0,0,2,0,0.5,1,1,2,2
